epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7211,0.9691,2.67481,1.31961,0.00794,0.65601,0.27768,0.19746,0.84125,2.9056,1.22929,0.00025005,0.00025005,0.00025005
2,23.2403,0.93279,1.5465,1.27736,0.92216,0.24286,0.29237,0.2123,0.95961,2.66421,1.33776,0.000514724,0.000514724,0.000514724
3,32.2305,0.96517,1.44812,1.28012,0.8133,0.3097,0.44402,0.31217,1.07329,2.27638,1.42099,0.000777285,0.000777285,0.000777285
4,39.5746,0.9776,1.37189,1.2946,0.69963,0.31399,0.52936,0.31355,1.33215,2.4359,1.67374,0.00103773,0.00103773,0.00103773
5,45.749,1.00703,1.31205,1.31769,0.60148,0.4626,0.51466,0.29756,1.44433,2.16037,1.89236,0.00129607,0.00129607,0.00129607
6,55.5493,1.04233,1.32295,1.31922,0.69835,0.52078,0.6448,0.37107,1.41411,1.81474,2.06633,0.00155229,0.00155229,0.00155229
7,61.8663,1.07564,1.30889,1.33555,0.59381,0.52388,0.52669,0.31076,1.52742,2.12986,1.8641,0.00162739,0.00162739,0.00162739
8,69.2276,1.0521,1.25625,1.32068,0.63956,0.54331,0.57158,0.3466,1.47709,1.97875,1.71199,0.00162079,0.00162079,0.00162079
9,77.9234,1.08101,1.23218,1.33081,0.53732,0.48303,0.41599,0.20688,1.75196,2.23691,1.98525,0.00161419,0.00161419,0.00161419
10,83.7467,1.02215,1.1931,1.31967,0.65446,0.55437,0.58191,0.36431,1.41492,1.71947,1.81155,0.00160759,0.00160759,0.00160759
11,92.9204,0.96867,1.10969,1.27756,0.7088,0.61478,0.63363,0.37696,1.38127,1.58514,1.81519,0.00160099,0.00160099,0.00160099
12,99.6758,0.96886,1.06353,1.27661,0.65622,0.62028,0.65639,0.41042,1.39447,1.71442,1.7102,0.00159439,0.00159439,0.00159439
13,106.008,0.98617,1.14711,1.29063,0.74004,0.65607,0.6716,0.4258,1.26316,1.44748,1.63766,0.00158778,0.00158778,0.00158778
14,115.697,0.91207,1.04828,1.23593,0.74894,0.65583,0.71956,0.46788,1.2258,1.35768,1.5846,0.00158118,0.00158118,0.00158118
15,121.786,0.96566,1.04309,1.27332,0.77574,0.59397,0.68663,0.45808,1.29379,1.54154,1.58361,0.00157458,0.00157458,0.00157458
16,129.481,0.95546,1.0216,1.25538,0.81744,0.68328,0.75015,0.49828,1.23269,1.21804,1.55528,0.00156798,0.00156798,0.00156798
17,137.774,0.94139,1.00666,1.25886,0.86182,0.68215,0.76116,0.47837,1.20434,1.17876,1.61295,0.00156138,0.00156138,0.00156138
18,143.551,0.9122,0.9657,1.22316,0.7642,0.65112,0.71929,0.4596,1.27332,1.30339,1.5532,0.00155478,0.00155478,0.00155478
19,152.821,0.9573,0.99225,1.26593,0.72644,0.70859,0.71933,0.50033,1.11087,1.20395,1.41534,0.00154818,0.00154818,0.00154818
20,159.762,0.91817,0.94427,1.24137,0.74256,0.70549,0.71912,0.47481,1.20907,1.30128,1.49551,0.00154157,0.00154157,0.00154157
21,165.94,0.90704,0.95146,1.22461,0.81039,0.68778,0.7603,0.50296,1.2228,1.15594,1.48265,0.00153497,0.00153497,0.00153497
22,175.574,0.90381,0.90181,1.22681,0.79595,0.7205,0.79536,0.53259,1.13926,1.04295,1.48473,0.00152837,0.00152837,0.00152837
23,181.841,0.90606,0.90823,1.23217,0.79941,0.67351,0.74417,0.49986,1.21094,1.21931,1.50268,0.00152177,0.00152177,0.00152177
24,188.987,0.88922,0.90618,1.2071,0.83946,0.70286,0.777,0.54324,1.08039,1.10534,1.44911,0.00151517,0.00151517,0.00151517
25,197.803,0.89003,0.89591,1.21885,0.85555,0.72424,0.79785,0.54516,1.14152,1.04012,1.47581,0.00150857,0.00150857,0.00150857
26,203.673,0.83893,0.86448,1.19419,0.76918,0.72132,0.77685,0.54329,1.16184,1.0744,1.49587,0.00150197,0.00150197,0.00150197
27,213.358,0.86815,0.83382,1.20918,0.83422,0.72385,0.77169,0.52054,1.16475,1.0576,1.53417,0.00149537,0.00149537,0.00149537
28,219.589,0.82889,0.82039,1.19254,0.80728,0.74172,0.77933,0.55375,1.07346,1.07123,1.46332,0.00148876,0.00148876,0.00148876
29,226.468,0.86182,0.8293,1.21691,0.81573,0.75481,0.81643,0.56788,1.11088,0.97736,1.43072,0.00148216,0.00148216,0.00148216
30,235.128,0.8667,0.8393,1.17498,0.80084,0.73522,0.7711,0.52245,1.1517,1.21695,1.48876,0.00147556,0.00147556,0.00147556
31,241.124,0.8455,0.82446,1.19992,0.83738,0.67161,0.73562,0.50911,1.11542,1.18965,1.40957,0.00146896,0.00146896,0.00146896
32,250.083,0.80509,0.81364,1.16876,0.7696,0.65556,0.73247,0.50423,1.13513,1.17458,1.47251,0.00146236,0.00146236,0.00146236
33,256.535,0.8706,0.82466,1.20512,0.86412,0.66069,0.77024,0.52133,1.15379,1.03743,1.51465,0.00145576,0.00145576,0.00145576
34,262.602,0.84749,0.79476,1.19611,0.76915,0.71455,0.74776,0.51791,1.14245,1.14948,1.55654,0.00144916,0.00144916,0.00144916
35,272.198,0.82291,0.80415,1.18623,0.8759,0.67781,0.77425,0.53348,1.19435,1.09184,1.61475,0.00144256,0.00144256,0.00144256
36,277.962,0.79393,0.78386,1.18143,0.8516,0.74431,0.7979,0.52407,1.16329,0.93954,1.5557,0.00143595,0.00143595,0.00143595
37,285.546,0.81015,0.74681,1.17727,0.88743,0.66698,0.78548,0.51165,1.29007,1.04633,1.61459,0.00142935,0.00142935,0.00142935
38,293.329,0.83457,0.80678,1.2112,0.77914,0.6959,0.73734,0.47764,1.22503,1.28327,1.61013,0.00142275,0.00142275,0.00142275
39,299.289,0.8233,0.77713,1.1918,0.87767,0.67202,0.76799,0.54397,1.12805,1.15662,1.50066,0.00141615,0.00141615,0.00141615
40,308.537,0.79728,0.76737,1.16483,0.83715,0.73271,0.80355,0.57904,1.05714,1.04299,1.39345,0.00140955,0.00140955,0.00140955
41,314.935,0.78978,0.73057,1.16168,0.87683,0.74725,0.81624,0.58948,1.02712,0.91939,1.3807,0.00140295,0.00140295,0.00140295
42,321.749,0.79123,0.74102,1.16421,0.85297,0.68541,0.77748,0.56021,1.04395,0.95583,1.39642,0.00139635,0.00139635,0.00139635
43,330.978,0.79987,0.74587,1.16381,0.80353,0.7436,0.759,0.55787,0.99387,0.94749,1.36527,0.00138974,0.00138974,0.00138974
44,336.904,0.7838,0.72643,1.15479,0.82057,0.76112,0.7906,0.58226,0.99647,0.90377,1.32951,0.00138314,0.00138314,0.00138314
45,345.344,0.77915,0.73847,1.13306,0.79573,0.74657,0.79683,0.57514,1.03567,1.00953,1.3924,0.00137654,0.00137654,0.00137654
46,352.944,0.78382,0.72919,1.14944,0.88742,0.69136,0.79673,0.56993,1.06603,0.95319,1.46517,0.00136994,0.00136994,0.00136994
47,358.911,0.80327,0.70801,1.17726,0.85642,0.71729,0.80219,0.57456,1.03407,0.93111,1.3679,0.00136334,0.00136334,0.00136334
48,368.109,0.81659,0.71748,1.15657,0.83442,0.76661,0.79959,0.55103,1.06677,0.93092,1.37783,0.00135674,0.00135674,0.00135674
49,374.106,0.77436,0.6794,1.14228,0.81548,0.77796,0.79652,0.56387,1.05375,0.91268,1.38206,0.00135014,0.00135014,0.00135014
50,381.027,0.76295,0.69487,1.14207,0.85809,0.77826,0.80963,0.57568,1.04169,0.83946,1.37632,0.00134354,0.00134354,0.00134354
51,389.532,0.78638,0.69747,1.16198,0.87753,0.73446,0.80559,0.57159,1.04717,0.8158,1.40433,0.00133693,0.00133693,0.00133693
52,395.53,0.73393,0.68817,1.12809,0.85574,0.76699,0.82034,0.56688,1.07562,0.84963,1.38529,0.00133033,0.00133033,0.00133033
53,404.2,0.77396,0.70833,1.13262,0.86829,0.78305,0.8325,0.58532,1.03246,0.86895,1.411,0.00132373,0.00132373,0.00132373
54,410.903,0.73238,0.66197,1.12717,0.85349,0.76075,0.82494,0.57625,1.03016,0.84,1.35132,0.00131713,0.00131713,0.00131713
55,416.726,0.7368,0.67893,1.09441,0.87122,0.74654,0.81746,0.59049,0.98934,0.82599,1.33163,0.00131053,0.00131053,0.00131053
56,426.771,0.71334,0.64144,1.12623,0.86251,0.7548,0.82877,0.58913,1.03995,0.80871,1.3864,0.00130393,0.00130393,0.00130393
57,432.797,0.73066,0.64638,1.12035,0.85886,0.70709,0.80223,0.55456,1.06723,0.87609,1.40782,0.00129733,0.00129733,0.00129733
58,439.876,0.75192,0.65852,1.11454,0.88267,0.71392,0.80931,0.57031,1.02854,0.90644,1.37416,0.00129072,0.00129072,0.00129072
59,447.79,0.73107,0.64482,1.11583,0.86171,0.74368,0.81543,0.60792,0.94985,0.84331,1.30766,0.00128412,0.00128412,0.00128412
60,453.87,0.77339,0.67805,1.16078,0.83793,0.74001,0.80293,0.57373,1.02355,0.90467,1.34825,0.00127752,0.00127752,0.00127752
61,463.391,0.71936,0.65511,1.11306,0.82588,0.75219,0.80699,0.56954,1.04785,0.90228,1.37766,0.00127092,0.00127092,0.00127092
62,469.807,0.73897,0.65956,1.1114,0.84919,0.75773,0.8013,0.54287,1.11341,0.96411,1.44607,0.00126432,0.00126432,0.00126432
63,476.018,0.72121,0.64417,1.10179,0.90125,0.73342,0.82989,0.59203,1.01305,0.82445,1.38729,0.00125772,0.00125772,0.00125772
64,485.578,0.69126,0.63003,1.0875,0.84155,0.75027,0.81718,0.58753,1.00628,0.86891,1.37236,0.00125112,0.00125112,0.00125112
65,491.684,0.69637,0.66756,1.12108,0.83199,0.73946,0.79713,0.54987,1.04621,0.94397,1.4524,0.00124452,0.00124452,0.00124452
66,498.795,0.76514,0.67908,1.15997,0.86663,0.69843,0.77889,0.54817,1.05043,0.97336,1.47836,0.00123791,0.00123791,0.00123791
67,507.357,0.71851,0.67024,1.11881,0.86951,0.7701,0.83345,0.60582,0.99306,0.87842,1.40841,0.00123131,0.00123131,0.00123131
68,513.166,0.71126,0.63645,1.0969,0.84984,0.75036,0.8253,0.58765,1.03581,0.92065,1.40973,0.00122471,0.00122471,0.00122471
69,522.274,0.70902,0.63202,1.10223,0.80564,0.73458,0.77547,0.54964,1.02207,0.93916,1.38452,0.00121811,0.00121811,0.00121811
70,529.002,0.71309,0.65307,1.11535,0.84225,0.7322,0.78959,0.55262,1.07971,1.01613,1.41411,0.00121151,0.00121151,0.00121151
71,534.994,0.72197,0.63751,1.11198,0.8499,0.72939,0.79429,0.54846,1.08653,0.97142,1.41745,0.00120491,0.00120491,0.00120491
72,544.5,0.69817,0.60702,1.0969,0.90432,0.74733,0.82669,0.59171,1.00675,0.84729,1.32587,0.00119831,0.00119831,0.00119831
73,550.443,0.71615,0.63003,1.11151,0.84321,0.75107,0.80408,0.59166,0.97363,0.86807,1.32895,0.0011917,0.0011917,0.0011917
74,558.29,0.70054,0.62177,1.08855,0.87722,0.75014,0.81781,0.58503,1.012,0.87565,1.37471,0.0011851,0.0011851,0.0011851
75,566.222,0.70752,0.62163,1.10994,0.87575,0.73463,0.82406,0.57808,1.00647,0.8488,1.35311,0.0011785,0.0011785,0.0011785
76,572.238,0.7375,0.61384,1.12522,0.86155,0.72335,0.80256,0.55293,1.05457,0.89524,1.39444,0.0011719,0.0011719,0.0011719
77,581.459,0.689,0.60169,1.07988,0.81638,0.73756,0.77204,0.53885,1.03599,0.91172,1.40834,0.0011653,0.0011653,0.0011653
78,587.607,0.70558,0.63807,1.11606,0.83725,0.74351,0.80252,0.55523,1.08896,0.89463,1.47645,0.0011587,0.0011587,0.0011587
79,594.379,0.69331,0.61766,1.09851,0.88462,0.73019,0.82312,0.58778,1.04049,0.84805,1.39418,0.0011521,0.0011521,0.0011521
80,602.968,0.6685,0.6045,1.08172,0.88449,0.74582,0.82205,0.60488,1.01547,0.83205,1.35161,0.0011455,0.0011455,0.0011455
81,608.931,0.67355,0.58656,1.09225,0.87891,0.73463,0.83591,0.59013,1.01244,0.84196,1.37157,0.00113889,0.00113889,0.00113889
82,617.391,0.68157,0.58688,1.07485,0.84462,0.73232,0.80966,0.59173,0.99505,0.84426,1.34246,0.00113229,0.00113229,0.00113229
